sah,en
ньаадьы,teacher
ньаалбаан,tin
ньаат,kind of diving bird
ньилбэк,knee
ньирэй,(newborn) calf
ньиэмиэт,pattern
ньочох,young hare
ньуора,njuora
ньургуһуун,snowdrop (plant
ньуур,face
ньүөл,moisture
ньэчимиэн,barley [<Russ. ячмень]
нэдиэлэ,week [<Russ. неделя]
нэһилиэк,nasleg
нэһилиэнньэ,village
оборчо,tube
обот,appetite
обоччо,tube
обуос,wagon train
огурсуу,cucumber [<Russ. огурец]
оҕо,child
оҕоһут,nurse
оҕунуох cf аҕыныах,salve
оҕуруо cf. аҕырыа,glass beads
оҕуруот,vegetable garden [<Russ. огород]
оҕуруот аһа,vegetables
оҕус,ox
ой,woods
ойбон,icehole
ойоҕос,rib side
ойоос,small island
ойох,woman
ойун,shaman
ойуур,forest
олбуор,court
олбуор аана,gate
олом,ford
оломто,basis
олоҥхо,epic poem
олоҥхоһут,epic poet
олоппос,chair
олох,life
олунньу,February
омурт,cavity of the mouth
оҥкучах,cellar
оҥоһук,something which has been made
оҥочо,boat
ооҕуй,spider
ооҕуй оҕус,spider
оонньуу,game
оргуһах,yoke
ордук,more
ордуу,camp
орой,top (of the head)
оройуон,region
орон,land
орто,middle
орулуос,golden eye (duck – Bucephala clangula)
оруос,winter rye [<Russ. рожь]
ос,boot top
оскуола,school [<Russ. скола]
остолуобай,dining room
остоолбо,pillar
остуол,table [<Russ. стол]
остуолба,post
остуорас,watchman [<Russ. сторож]
от,grass
от ыйа,July (lit. ‘grass month’)
от ыйа,July
от-мас,vegetation
отон,berry
оттук,fuel
отуу,grass hut
отчуот,report
отчут,person who mows grass
ох,arrow
ох саа,bow
оһоҕос,intestines
оһох,stove
өй,mind
өйүө,provisions
өл,exterior part of a carp
өрбөх,rags
өрөбүл,day off
өрөгөй,surface
өрөгөй,success
өрүс,(large) river
өрүт,side
өс,spite
өс,word
өстүөкүлэ,glass [<Russ. стекло]
өт,forest fire
өтөн,wild dove
өтөх,farm
өттүк,thigh
өтүйэ,hammer
өһөс, өһөгөй
паарта,(student’s) desk [<Russ. парта]
падэж,case (grammatical) [<Russ.]
парк,park [<Russ.]
подсвешник,candlestick [<Russ.]
поликлиника,general clinic [<Russ.]
полк,regiment [<Russ.]
помидор,tomato [<Russ.]
почта,mail
председатель,chairman
принцип,principle [<Russ.]
промышленность,industry [<Russ.]
пуун,point
рабочай,worker [<Russ.]
революцюя,revolution[<Russ.]
редакция,editorial office [<Russ.]
рецепт,prescription [<Russ.]
ромб,rhombus [<Russ.]
рэспублика,republic
саа,gun
саас,age
саат,shame
сааһы,order
саҕа,collar
саҕах,horizon
сайын кыһын,the whole year
салааһын,licking
салайааччы,manager
салалта,government
салҕааһын,continuing
самыыр,rain
санаа,though
саҥа,speech
саҥа-иҥэ,speech
саҥардааһын,comp. update
сап,thread
сарыы,suede
сарыы кынат,bat (animal)
сата,bezoar stone
сатабыл,ability
Саха Сирэ,Yakutia
саха тыл,Yakut language
сахыматчыт,chess player
саһарҕа,dawn
сибэкки,flower
сиидэ,sieve
сиик,humidity
сиик,sap
сил,saliva
силим,glue
сиппиир,broom
сир,land
сир аһа,berry
сирдьит,guide (person)
сирэй,face
сирэй харах,face
сис быата,saddle strap
ситим,connection
сиэб,pocket
сиэл,mane
сиэҥ,carrion
собуйар аат,pronoun
соҕох,pestle
соҕуруу,south
солбуйар аат,pronoun
солбук,replacement
соло,rank
солооһун,clearing
солуур,bucket
сон,coat (clothing)
сонун,news
сонун нуомас,news
сото,shin
соттор,towel
сөтөл,cough
студент,student [<Russ.]
субурҕа,sheaf of wheat
сулус,star
суо,greatness
суол,road
суолта,meaning
суор,raven
суор-тураах,carrion-crows
суорат,sour milk
суорҕан,blanket
суос,strictness
сурах,news
сурах-саддьык,gossip
сурук,writing
сурук-бичик,alphabet
сут,hunger
сүбэ,advice
сүбэһит,advisor
сүөм,inch
сүөмүйэ,finger
сүр,scarecrow
сүр,soul
сүргэ,mood
сүрдьүгэс,pole serving as a basis for a fence
сүрэх,heart
сүүрээн, сүүрүк
сүүс,forehead
сыа,fat
сыбах,plaster
сыл,year
сылаа,tiredness
сымыйа,lie
сымыйаччы,liar
сымыыт,egg
сырай,dial cf сирэй face
сыт,odor
сыт-сымар,strong odor
сыттык,pillow
сыһыан,relation
сыһыат,adverb
сыыһа,mistake
сэниэ,energy
сэтэ,malice
таабырын,puzzle
таас,stone
таба,reindeer (Rangifer tarandus)
табаары,goods
табах,tobacco
табыл,luck
табыс,luck
таламаһа,comp. interface
талба,comp. menu
таҥара,God
таҥас,clothes
таҥас-сап,clothes
таптал,love
тараах,comb
тас,exterior
тастыҥ убай,cousin
таһарыы,ablative (case)
таһым,level
телеграф,telegraph [<Russ]
тиис,tooth
тимир,iron (metal)
тимир ууһа,ironsmith
тимэх,button
тиҥилэх,claw
тирии,leather
тиһилик,chain
тобурах,hail (weather)
тойо, тойон
тойот,lords
толкуй,thought [<Russ. tolkuй]
толон,degree
толоон,valley
томоон,order
тоҥот,crust of ice over snow
тоҥсоҕой,woodpecker
торбос,calf (cow)
тот,repletion
тохтобул,stop (for a bus
тоһоҕо,nail
тоһуур,ambush
төбө,head
төбөт,urchin
төгүрүмтэ,circle
төлөбүр,payment
төрөппүт,parent
төрүт,origin
төрүччү,genealogy
туйах,hoof
тула,environs
тулаһа,courtyard
тулук,tolerance
тума,spice
тумалык,specialty
тумул,cape
тумус,bill
туом,custom
туос,birchbark
туохтуу,nominative (case)
туохтуур,verb
туоһу,witness
тураах,crow
турба,pipe
туртас,roe deer (Capreolus capreolus)
туруйа,crane (bird)
турук,status
туруоруу,comp. field
тус,arch. side
тусаһа,courtyard
тутаах,handle
туттуу,instrumental (case)
тутул,system
тутум,unit of length equivalent to the length of one’s fist
туус,salt
түбүк,worry
түбүк-садьык,worries
түмэн,parliament
түннүк,window
түөлбэ,remote place
түөс,breast
түү,fur
түүтэх,sheaf
түһүк,grammatical case
түһүлгэ,arena
түһүлүк,breastplate
түһүмэх,chapter
тыа,woods
тыал,wind
тыас,noise
тыатааҕы,euph. bear
тыл,tongue
тыл-өс,speech
тылбаасчыт,translator
тыы,skiff
тыын,breath
тэбилик,support
тэбиҥ,mentor
тэлгэһэ,yard
тэллэй,mushroom
тэрилтэ,company
убай,brother (elder)
угут,poultice
уйааһын,weighing scales
уйулҕа,emotional state
уллуҥ,sole (of foot)
уллуҥах,sole (of foot)
умнас,stem
уол,boy
уолба,body of water with water having subsided
уорба,suspicion
уос,lip
уот,fire
уох,might
ур,lump
урамньый,art
уруок,lesson
уруһуй,painting comp. image [<Russ. risuй]
утах,thirst
утум,heredity system
уу,water
уу-хаар,wetness
уулусса,street [<Russ. ulica]
уураах,decree
уус,smith
уус тыл,eloquence
ууһут,swimmer
уһан,handicraft
уһук,endpoint
үгэ,fable
үгэс,custom
үктэл,step
үллэһик,division
үлүк,stock
үлэ,work
үлэ-иис,work
үлэ-хамнас,work
үлэх,reservation
үлэһит,worker
үҥкүү,dance
үҥүү,praying
үөн,worm
үөн көйүүр,worms
үөрүйэх,habit
үөрэнээччи,student
үөрэтээччи,teacher
үөрэх,studies
үөскээһин,suffix
үөһү,top
үп,money
үп-ас,fortune
үр,wealth
үр хамнас,wealth
үр харчы,wealth
үрүмэ,cream
үрүмэччи,(white) butterfly
үрүҥ көмүс,silver
үрүҥ хара,color
үрүт,top (side)
үрэх,small river
үтүмэх,fishing pole
үтэһэ,spit
үүнүгэс,shoot
үүнүү,growing
үүнээйи,plant
үүт,hole
үүт,milk
үүтах,small
үһүйээн,legend
фонология,phonology
футбуол,football
фэрма,farm
хаа,slip
хаан,blood
хаар,snow
хаар-самыыр,rainy weather
хаарты,cards (game) [<Russ. karta]
хаартыска,picture
хаас,goose
хааха,dial. dried fish
хаахынай, хааха
хабах,bladder
хабдьы,partridge
хабылык,game of catching sticks
хайҕал,praise
хайысха,direction
хайыһар,skis
халаан,flood
халлаан,sky
халыып,comp. template
хамнааһын,moving
хамнас,salary
хамначчыт,servant
хамсатааччы,engine
хаппах,cover
хаппахчы,storeroom
хаппыйах,comp. folder
хапсаҕай,wrestling match
хаптаһын,flat board
хапхаан,trap [<Russ. капкан]
хара дьай,misfortune
харах,eye
харах уута,tear
харбыыр,broom
харда,reply
харчы,money
харыс,care
хаспах,hole
хатат,flint
хатта,large intestine of a horse
хаттык,extra layer of clothing
хатылыыга,comp. frequency
хатын,dial cf хотун lady
хатыҥ,birch (Betula sp.)
хатырык,bark
хатыс,leather rope
хатыыр,lock
хах,cover
хахай,lion
хахха,shelter
хаһыат,newspaper
хаһыы,yell
хобуо,slander
хол,(rear) leg
холбоһук,union
холбуу,comitative case
хомус,mouth harp
хоноһо,overnight guest
хонук,overnight stay
хортуоска,potato [<Russ. картофель]
хоруо,soot
хоруолук,carbohydrate
хос,room
хоспох,small room
хоту,north
хотун,lady
хотуур,scythe
хоһоон,poem
хоһоонндьут,poet
чаакы,cup
чаас,hour [<Russ. час]
чаҕылҕан,lightning [<Mong. čakilγan]
чемпион,champion [<Russ.]
чочу,whetstone
чуораан,bell
чуучаах,small bird
чучуна,yeti
чэй,tea [<Russ. чай]
чэй,tea [<Russ. чай]
чэр,scar
чэрэниилэ,ink [<Russ. чернила]
чэрэниилэ иһитэ,inkstand
шарик,balloon [<Russ.]
ыаҕайа,bucket
ыаҕас,milking bucket
ыаҕас,bucket
ыал,family
ыал,neighbor [<Mong. ayil]
ыалчыт,guest
ыар,difficulty
ыарыы,disease
ыас,resin
ый,moon
ыйаах,decree
ыйаһыын,weighing
ыйынньык,comp. link
ыйытар,question
ылгын чыкыйа,little
ымсыы,envy
ынах,cow
ыҥыыр,saddle
ыраахтаҕы,czar
ырыа,song
ырыаһыт,singer
ырытыы,analysis
ыстаныак,(machine) bench [<Russ. станок]
ыт,dog
ыт тиҥилэҕэ,cloudberry (Rubus chamaemorus)
ытарҕа,earring
ытык,utensil for whipping cream
ытырым,bit
ытыс,palm (of hand)
ыһаары,fried food
ыһыах,summer solstice holiday
ыыраах,division of a hoof
ыыс,smoke
ыыс-быдаан,dense darkness
эбии,addition
эбиилик,bonus
эбиэс,sheep [<Russ. овца]
эбиэт,dinner
эбэ,grandmother
эбэҥки,Evenki
эҕэ,capticiousness
эдьиий,sister (elder)
эдьиий,aunt
эйэ,peace
элиэ,kite (bird)
эмп,medicine
эмтиэкэ,pharmacy [<Russ. аптека]
эмчит,physician
эмээхсин,old woman
эҥэр,skirts
эр,man
эр санаа,courage
эр санаа,courage
эрбии,saw (tool)
эрбэх,thumb
эргимтэ,circle
эргин,environs
эргиэн,trade
эрдии,oar
эриэн,motley
эриэппэ,turnip [<Russ. репа]
эртэбэс,boot
эрэй,suffering
эрэй-буруй,suffering
эрэкэрдииһи,record-breaker [<Russ. рекордист]
эрэсиинэ,resin [<Russ. ресин]
эрэт,fine fellow
эт,flesh
этин,sentence
этиҥ,thunder
этиҥнээх самыыр,thunderstorm
эттик,body (in physics)
этчит,butcher
этэрбэс,boot
эһэ,grandfather
эһэ,bear
ээҕэ,sarcasm
юрист,lawyer
алтан,copper
доҕоттор,friends
дьахталлар,women
кыыргыттар,girls
оҕонньоттор,old men
ойуттар,shamans
уолатар,boys
хотут,lady
эмээхситтэр,old women
доҕор,friend
дьахтар,woman
оҕонньор,old man
аҕыс,eight
алта,six
аҥар,half
аҥар,half
ахсыс,eighth
биир,one
биэс,five
бэһис,fifth
икки,two
иккис,second
отут,thirty
сүүрбэ,twenty
сүүс,(one) hundred
сэттэ,seven
тоҕус,nine
түөрт,four
уон,ten
үс,three
били,that
биһиги,we
бу,this
бэйэ бэйэ,each other
ити,this
итинник,such
ким да,no one
ким даҕаны,no one
ким эрэ,someone
кини,he
кинилэр,they
кинилэр киэнэ,theirs
киниэнэ,his
мин,I
миэнэ,mine
ол,it
эй̃иэнэ,yours
эһиги,you (plural)
эһиэнэ,yours
эн,you (singular)
ааҕыс=,to reckon with
аал=,to rub
аалыс=,to socialize
ааннаа=,to provide with a door
аас=,to go past
аах=,to read
аахай=,to pay attention
абааһы көр=,to dislike
абар=,to be annoyed
абатый=,to become annoyed
абыраа=,to save
абырахтаа=,to repair
аҕаа=,to glue
аҕал=,to give
аҕыйаа=,to dwindle
аҕын=,to remember
аҕырыа=,to be moderate
ай=,to create
айдаар=,to be noisy
албаа=,to flatter
алҕаа=,to bless
алҕаһаа=,to err
алдьат=,to break
аллай=,to open one’s mouth widely
аллар=,to hollow
алчай=,to spread one’s legs
алын=,to seep
анаа=,to appoint
анат=,to have set
анньылаа=,to push
аҥардаа=,to divide in half
ар гын=,to roar
араар=,to separate
араар=,to separate
араҕыс=,to depart
араҕыстый=,to become yellow
аралдьый=,to be distracted
аралдьыт=,to distract
арах=,to become separated
арбай=,to have messy hair
ардахтаа=,to rain
арый,to open
ас=,to open
ас=,to strike
астаа=,to cook
астан=,to be prepared (of food)
астын=,to enjoy
атаар=,to dispatch
атаҕастаа=,to offend
атта=,to castrate
атыылаа=,to sell
атыылас=,to buy
ах=,to stop flowing
ахсаа=,to weaken
ахсат=,to make weak
аһаа=,to eat
аһар=,to let through
аһат=,to feed (animals)
аһый=,to go sour
аһын=,to feel sorry for
баа гын=,to speak in a low voice
бааҕынаа=,to speak in a low voice
бааҕынас,low (of voice)
баай=,to tie
баайыс=,to carp at
баалаа=,to force
баар,there is/are
баас=,to bind (together
бааһыр=,to be wounded
бааччай=,to complicate
багдай=,to have broad shoulders
баҕар=,to desire
бай=,to become rich
баллырҕаа=,to blabber
балыктаа=,to fish
бар гын=,to roar
бар=,to brew (of tea)
бар=,to go
бараа=,to spend
барый=,to appear dimly in the distance
бас=,to fetch (water)
бастаа=,to become first
басый=,to master
бат=,to chase
бат=,to fit into
баттаа=,to press
батыс=,to follow
бахчай=,to straddle
баһый,to master
баһырҕаа=,to buzz
бил=,to know
билис=,to become acquainted with
биллэр=,to communicate
биллэрил=,to be made
бириһээ=,to admire
бириэмийэлээ=,to award
бис=,to grease
биһирээ=,to like
биэр=,to give
биэрил=, бэрил=
бодьоо=,to set a timeframe
болоор=,to become blurred
боп=,to forbid
боронньулаа=,to harrow
босхолоо=,to liberate
ботугунай=,to whisper
бөрөлөө=,to hunt wolves
бөрөө=,to wrap
бөт=,to hiccup
бугуллаа=,to stack
бул=,to find
булкуй=,to confuse
бултаа=,to hunt
буой=,to forbid
буол=,to be
буортулаа=,to harm
буот=,to calm
буоһалаа=,to rein in
бурай=,to make scatter
буралын=,to scatter
бурдук астаа=,to thresh
буруй=,to twist something
буруолаа=,to smoke
бус=,to cook
бус=,to ripen
бутуй=,to mix
буу гын=,to wheeze
буутайдаа=,to confuse [<Russ. путай]
буһар=,to cook
бүк=,to hide oneself to bend
бүрүй=,to cover
бүрүлүн=,to be covered
бүт=,to finish
бүтэр=,to cause to end
бык=,to look out
былдьаа=,to take away
былтарый=,to exit
былтарыт=,to force
былытыр=,to become cloudy
бырах=,to cast
быс=,to cut
бытаар=,to slow down
бытарый=,to be crumbled up
быһаар=,to explain
быыбардаа=,to elect
быыһаа=,to save
бэкий=,to be lean
бэлиэтии көр=,to observe
бэлэмнээ=,to prepare
бэлэскэр түһэр=,to give a hostile reception
бэргэт=,to make worse
бэргээ=,to become worse (of a disease)
бэрдимсий=,to pretend to be excellent
бэрис=,to share
бэрэбиэркэлээ=,to examine
бэрэмээттээ=,to seine
бэчээттээ=,to print [<Russ. печатать]
гын=,to do
даа гын=,to croak
даҕаа=,to touch lightly
дайбаа=,to wave
далай=,to wave
даллай=,to extend
диэ=,to say
доҕолоҥноо=,to limp
долгуй=,to surge
долгут=,to cause to surge
доргуй=,to sound
доргут=,to make sound
дөбөҥсүй=,to become fast
дөй=,to grow silent
дуорай=,to echo
дуорат=,to make produce an echo
дуумайдаа=,to think
дьааһый=,to yawn
дьааһыт=,to make yawn
дьадай=,to become poor
дьай=,to be absorbed
дьайҕаар=,to clear up (of the sky)
дьалай=,to direct to observe
дьалбаар=,to become absentminded
дьалкый=,to splash
дьалкыт=,to splash
дьаллай=,to expand upward
дьаптай=,to compress
дьапталын=,to be compressed
дьарылаа=,to shake
дьаһай=,to manage
дьаһалымсый=,to meddle
дьиэлээ=,to marry
дьөл=,to pierce
дьөлө ас=,to pierce
дьөлөрүй=,to get holes
дьулай=,to be afraid
дьулуй=,to aspireto work on
дьүдьэй=,to become skinny
дьүдьэт=,to make thin
дьэбинний=,to become rusty
дьэндьэннээ=,to pick strawberries
иил=,to hang
иилиһин=,to become entangled
иин=,to emaciate
иир=,to go mad
ииригир=,to behave foolishly
иирис=,to quarrel with
иистэн=,to sew
иит=,to bring up
илгиһин=,to shake down (e.g.the head)
илдирий=,to fall to pieces
илдьэллэр=,to drive off
илий=,to become wet
илимнээ=,to net
илит=,to make wet
илит=,to wet
илиһин=,to become exhausted
илк=,to cast off
илт=,to take away
имит=,to press
инчэй=,to become wet
иҥ=,to be absorbed
иҥин=,to stick to
иҥсэр=,to covet
ир=,to boil
ир=,to melt (of snow)
ириҥэтий=,to exude pus
ис=,to drink
ис=,to go
ис=,to swell
искэй=,to swell
ит=,to bear
итигэстээ=,to gather
итир=,to get drunk
итит=,to heat
итэҕэй=,to believe
иһигир=,to swell
иһиир=,to whistle
иһит=,to hear
иһэлий=,to swell/redden from cold
иһэлит=,to make swell/redden from cold
иэҕэй=,to bend
иэдэй=,to fare poorly
иэдэт=,to make fare poorly
иэх=,to bend
киир=,to enter
кик=,to incite
килбигий=,to become timid
килбий=,to be timid
киллэр=,to bring
киллэр=,to enter
килэй=,to reflect
ким=,to press hard
кир=,to chew
киртий=,to become dirty
кистээ=,to hide
кистээ=,to neigh
киһитий=,to become humane
киэргэй=,to become more pretty
киэргэт=,to decorate
киэһэр=,to grow dark
көбүт=,to make fluff
көҕөр=,to become blue
көҕүй=,to stimulate
көлүй=,to yoke
көм=,to bury
көмөлөс=,to help
көмүскээ=,to defend
көн=,to straighten
көннөр=,to straighten
көҥөө=,to restrict
көҥөс=,be greedy
көппөй=,to become lazy
көппөт=,to make lazy
көр=,to see
көрдөө=,to look for
көрдөс=,to beg
көрүс=,to meet
көс=,to migrate
көт=,to fly
көтөллөө=,to hitch horses together
көтөх=,to lift
көтүр=,to tear down
көтүт=,to miss
көтүт=,to winnow
көххө=,to accompany
көһүй=,to become numb
көһүс=,to appear
көһүт=,to make numb
кубарый=,to become pale
куоластаа=,to vote
куот=,to run away from
куоталаа=,to outrun
куоталас=,to compete
куотун=,to evade
куруй=,to become stale
курулаа=,to gurgle
кут=,to pour
куттаа=,to frighten
куттан=,to become scared
куур=,to dry
куур=,to perform a shaman’s ritual
куурт=,to be dried
куус=,to hug
кучуй=,to reach an agreement
күл=,to laugh
күөрэй=,to soar up
күрт=,to dig
күрт=,to shovel
күрээ=,to run away
күү гын=,to buzz
күүр=,to strain
күүт=,to wait for
күүһүмсүй=,to pretend to be strong
кыай=,to be able to win
кыайтар=,to lose
кыбын=,to grip
кыбыт=,to insert
кыдьый=,to become old
кыйаар=,to fly far away
кыккыраа=,to creak
кылан=,to squint
кылат=,to cause to squint
кылгаа=,to shorten
кылырҕаа=,to rattle
кыҥкынаа=,to clink
кыҥсий=,to speak through one’s nose
кыраай=,to soar up very far
кырааскалаа=,to paint
кыраат=,to throw up very far
кыратый=,to become small
кырбаа=,to cut into pieces to strike
кырдьаҕаһымсый=,to pretend to be old
кырый=,to become old
кырый=,to cut
кырыктый=,to become angry
кырыт,to make age
кыс=,to cut
кыстаа=,to winter
кытар=,to become red
кытат=,to become hard
кыһай=,to force
кыһан=,to do one’s best
кыһан=,to need
кыһый=,to itch
кыһый=,to resent
кыһыр=,to become angry
кыһыт=,to vex
кыһыы=,to scrape
кыыллый=,to become brutal
кыыр=,to act as a shaman
кыырай=,to soar up very far/high
кыырат=,to throw
кэбирэт=,to make fragile
кэбирээ=,to become fragile
кэбис=,to throw
кэбиһилин=,to leave behind
кэдэй=,to bend foreward
кэй=,to strike with the head or horns
кэл=,to come
кэлтэй=,to become asymmetric
кэлтэт=,to make asymmetric
кэмнээ=,to measure
кэмсин=,to regret
кэпсэт=,to talk to
кэпсээ=,to tell
кэрбээ=,to gnaw
кэрт=,to hack
кэс=,to wade through
кэт=,to wear
кэтилин=,to be stumbled upon
кэтэрт=,to put
кэтэс=,to wait
кэтээ=,to guard
кэтээ=,to watch
кэһэй=,to learn
кэһэт=,to teach a lesson
кээс=,dial. cf. кэбис= to throw
лахсый=,to talk rubbish
линкинээ=,to ring
лиһирдээ=,to tramp
лэкээ=,to chop
маадьай=,to be bandy-legged
манаа=,to graze
манньыат,coin
манньый=,to do a favor to be sentimental
манньый=,to be sentimental
манньыт=,to make sentimental
маҥхай=,to whiten
маҥыраа=,to low (of a cow)
марайдаа=,to soil
мат=,to deprive of something
матай=,to have a broad back
махчай=,to squat
миин=,to ride (a horse
минньий=,to become sweet
мөккүс=,to argue
мөлбөй=,to become large
мөлтөө=,to weaken
мөх=,to scold
мун=,to lose one’s way
муннар=,to make lost
муннахсый=,to doubt
мунньус=,to gather
муоһалаа=,to rein in
мус=,to gather
мэлдьэс=,to deny
мэлий=,to perish
мэлий=,to disappear
мэлит=,to make perish
мэнэрий=,to hallucinate
мэнэрит=,to make hallucinate
мэһэйдээ=,to annoy
наҕылый=,to relax
наҕылыт=,to make relax
наймы,hiring [<Russ. найми]
наймылаа=,to hire
намый=,to weaken
нүөлүй=,to subside
нүөлүт=,to make subside
ньаа гын=,to squeak
ньиргий=,to thunder
ньирмсий=,to act stupid
ньолбой=,to become oval
ньолой=,to have a long face
ньохчой=,to stoop
ньөкөй=,to trample down in a press
ньургуй=,to be first
ньургут=,to glorify
обор=,to absorb
оҕолоо=,to nurse
оҕомсуй=,to act childish
оҕонньорсуй=,to become like an old man
оҕун=,to fall
оҕус= (охcо=),to hit
оҕут= (охтор=),to fall
ой=,to jump
ойун=,to come apart
олор=,to live
олорт=,to set out
олохсуй=,to settle
оҥ=,to gouge
оҥ=,to tear out
оҥой=,to become open
оҥор=,to make
оҥот=,to open
оонньоо=,to play
оргуй=,to boil
оргут=,to boil
ороос=,to mix up
орт=,to remain
ос=,to heal
оттоо=,to light
отун=,to make fire
отчуоттаа=,to report
охсуо=,to fight
охтор=,to make fall
өҕүй=,to burp
өҕүт=,to make burp
өйдөө=,to understand
өйдөөҕүмсүй=,to pretend to be clever
өйдөт=,to explain
өйдүө=,to remember
өйөө=,to support
өл=,to die
өлөр=,to kill
өлөр=,to earn
өлөрт=,to murder
өр=,to knit
өркөй=,to become enthusiastic
өрөй=,to look up
өрөө=,to rest
өт=,to ooze
өтүүктээ=,to iron (clothing)
өһөө=,to bear a grudge against
өһөс=,to oppose
өһүл=,to disentangle
өһүр=,to bear a grudge against someone
өһүргэн=,to be offended
өһүргэт=,to offend
рэмонна=,to repair
са гын=,to laugh
саай=,to hit
саалын=,to bump into
саараа=,to doubt
саҕалаа=,to begin
сайҕаа=,to rinse
сайын=,to develop
сайыс=,to be unwilling to let someone go
салаа=,to lick
салай=,to manage
салҕаа=,to continue
салт=,to be bored
санат=,to remind
саҥар=,to speak
сарааппайдаа=,to scratch [<Russ. царапай]
сарбый=,to shorten
сас=,to hide (oneself)
сатаа=,to know how to do something
сахсый=,to shake up
саһар=,to become yellow
сибээ=,to smear
сиир=,to tear
силлээ=,to spit
сим=,to blink
сим=,to stuff in
симилий=,to vanish
симитин=,to be shy
сиппий=,to sweep
сипсий=,to whisper
сир=,to disdain
сиргэн=,to be disgusted
сиргэт=,to disgust
сит=,to reach
ситис=,to succeed
сиэ=,to eat
собуй=,to replace
сой=,to cool down
солоо=,to clean up
соноо=,to grow stout
сот=,to wipe
сотун=,to wipe oneself
сох=,to pound in a mortar
соһуй=,to be surprised
соһут=,to surprise
сөбүл=,to like
сөҥ=,to precipitate
сөпсүө=,to approve [<Mong. ǰöbšiye-]
сөтөлүн=,to cough
сөтүөлэ=,to swim
сөх=,to admire
субуй=,to stretch out
субулун=,to trail
субуруй=,to extend
субурут=,to cause to
суох,there is/are not
сургуй=,to squeeze through
суруй=,to write
сурут=,to make write
сууй=,to wash
суул=, суулун=
суун=,to be washed
суус=,to be mistaken
сүгүрүй=,to worship
сүк=,to carry on one’s back
сүл=,to skin
сүт=,to lose
сүүй=,to win
сүүйтэр=,to lose
сүүл=,to be in heat (of animals)
сүүр=,to run
сыҕарый=,to step aside
сылааһыр=,to become warm
сылай,to become warm
сылай,to tire
сылай=,to become tired
сылат,to make tire
сылҕарый=,to be moved aside
сылҕарыт=,to (make) move aside
сыллаа=,to kiss
сымсатый=,to pretend to be crafty
сынньан=,to rest
сынтай=,to be snub-nosed
сырдаа=,to become light
сырыт=,to go
сыт=,to lie (down)
сытый=,to rot
сытыт=,to make rot
сытыымсый=,to pretend to be clever
сыһыар=,to attach
сыһын=,to attach oneself to
сыһын=,to stick to
сыыл=,to crawl
сыыс=,to be mistaken
сэгэй=,to be slightly opened
сэгэт=,to open slightly
сэлэс=,to chat about idly
сэмэлээ=,to reproach
сэргээ=,to show interest
та гын=,to tap
таай=,to guess
таал=,to be petrified
таҕыс=,to be taken out
тайаа=,to prop
тал=,to elect
талкайдаа=,to push [<Russ. толкай]
таҥаа=,arch. to put together pieces of material
таҥын=,to dress oneself
тап=,to hit (a mark)
таптаа=,to love [<Mong. tabčiya=]
тапыс=,to get along with
тараа=,to comb
тарай=,to become bald
тарҕан=,to spread
тарт=,to pull
таскайдаа=,to carry [<Russ. таскай]
тат=,to pull
таһаар=,to publish
таһын=,to clap
тиий=,to reach
тиир=,to pull
тик=,to sew
тилин=,to come to life
тимир=,to drown
тирит=,to sweat
тирээ=,to prop
тис=,to place on a spit or skewer
тиэр=,to turn inside out
тобурахтаа=,to hail
тойомсуй=,to act bossy
токуруй=,to bend
токурут=,to make bend
толкуйдаа=,to think
томтой=,to bulge
тоҥ=,to freeze
тоҥор=,to make freeze
тоҥсуй=,to knock
тотор=,to feed fully
тох=,to pour
тохтоо=,to stop
тоһуй=,to ambush
тоһун=,to break
төгүрүй=,to make round
төкүнүй=,to roll
төлөө=,to pay
төнүн=,to return
тубус=,to improve
туйаар=,to sing(of a lark)
тулуй=,to endure
тулун=,to be pulled out
туналый=,to become white
туналыт=,to make white
туой=,INTJ
тур=,to stand
тургуй=,to be renewed
тургут=,to renew
туртай=,to become white
туртат=,to make white
тут=,to hold
тутай=,to diminish
туур=,to handle
туһа, туһан=
туһаай=,to direct
туһун=,to wrestle
түлүн=,to rise
түм=,to sum up
түмүк,conclusion
түөс=,to evoke
түөһэй=,to become senile
түөһэт=,to make senile
түргэт=,to make quick
түс=,to fall
тыалыр=,to blow
тыйыһый, тыйыһыр=
тыйыһыт=,to make hard
тылын=,to blossom
тымный=,to become cold
тыыр=,to cut open
тэбээ=,to shake off
тэл=,to cut
тэлгээ=,to spread
тэлэй=,to reveal
тэний=,to be spread
тэнит=,to spread
тэп=,to kick
тэрий=,to arrange
тэс=,to pierce through
тэтэр=,to become rosy
убаа=,to be diluted
убай=,to burn
убат=,to dilute
уй=,to support
уйаа=,to weight
ук=,to put into
улаат=,to grow
уларсы=,to lend
уларый=,to change
умай=,to burn
умат=,to make/cause to burn
умун=,to forget
умус=,to dive
уҥ=,to faint
уой=,to become fat
уол=,to subside
уоллар=,to make run dry
уоп=,to take a mouthful
уор=,to steal
уот=,to make fat
уоттуй=,to spoil as a result of sun or fire
уруһуйдаа=,to paint
уст=,to float
утар=,to oppose
утат=,to become thirsty
утуй=,to sleep
утут=,to make sleep
уулун=,to melt
уун=,to stretch
ууннэр=,to make stretch
уур=,to place
уураа=,to kiss
уурай=,to stop
уурат=,to dismiss
уустугур=,to become complicated
ууһумсуй=,to pretend to be a master
уһаар=,to cause to float
уһуй=,to teach
уһул=,to take off
