sah,en
улахан,large
улаханныҥы,biggish
улуу,great
умнуган,forgetful
уран,refined
урукку,former
уустук,complicated
уһун,long
үөһүү,upper
үрдүк,tall
үрүҥ,white
үтүө,good
үчүгиий-үчүгэй,very very good
үчүгэй,good
үчүгэй-үчүгэй,very good
хабыр,rude
халлаан күөҕэ,blue
халтархай,slippery
хамаҕа,saleable
хамаҕай,able
хампархай,breakable
хаҥсыа,snuffling
хап-хара,jet black
хаптаҕай,flat
хара,black
хара сордоок,poor
харам,thrifty
хараҥа,dark (of color)
хараҥа саарыл,purple
хат,extra
хатан,hard
хатыҥыр,slender
хой баһа,stupid
холку,calm
холоон,no better
холуочук,tipsy
хом,sad
хор,quickly consumed
хором,quickly consumed/finishing
хос,additional
хотуҥу,northern
хоһуун,diligent
чиҥ,dense
чиҥ-чиҥ,very dense
чугас,near
чугас-чугас,very close
чугастааҕы,found near
чугук,timid
чугыыс-чугас,very very close
чуор,sharp
чуумпу,quiet
чычаас,shallow
чэбдик,healthy
чэл,healthy
чэпчэки,light
ыарахан,difficult
ыары,sick
ыарыһах,sick
ыкын,tightfisted
ынырык,terrible
ып-ыраах,very far
ыраас,clean
ыраах,far
ыраахтааҕы,found far away
ырыган,thin
эдэр,young
эйэҕэс,peaceful
элбэх,multiple
эмис,fat
эндиэ,wrong
эргэ,old
эрдээх,masculine
эрэ,just
эрэл,reliable
этигэн,sonorous
этимсэк,meat-loving
этиһиик,quarrelsome
ээҕий,sarcastic
арҕаа,west
аҥардас=,(be) single
баран,after
иһин,for
кытта,with
аҕыйахтых,somewhat
аллара,down
аны,now
арай,only
арыт,sometimes
баарыын,recently
бала,much
бастаан,from the beginning
билигин,now
бөлүүн,in past years
бука,namely
букатын,quite
бүгүн,today
быйыл,this year
былыр,formerly
былырыын,last year
бытаанык,slowly
бэҕэһээ,yesterday
бэлиэр,already
бэрт,very
да,also
дьөссө,still
дэлби,very
дэлэ,very
иккитэ,twice
иннэгэр,in front of
иттэнэ,backwards
иһигэр,inside
иһирдьэ,inside
ичэгэстик,warmly
куруук,constantly
куучча,quite
куһаҕаннык,poorly
күнүс,by day midday
кэнна,behind
кэннигэр,behind
маарыын,recently
маарыын,recently
майдын,formerly
мэлдьи,always
наһаа,very
олох,entirely
олус,quite
оннук,so
онус,quite
оруобуна,exactly
отой,entirely
оччоҕо,then
өссө,still
ситэ,completely
соруйан,on purpose
сүнньүнэн,overall
тус,separately
урут,previously
үчүгэйдик,well
хата,finally
хойук,dial cf хойут later
хойут,later
чуо,exactly
эгэ,all the more
эмискэ,at once
эмиэ,too
эрдэ,early
эрэгэр,always
кэнэҕэс,then
сайын,summer
сарсыарда,morning
сарсын,tomorrow
биитэр,or
биэтэр,or
да…да,and
даҕаны,both…and
ду, дуу
дуо,whether interrogative particle no translation
оттон,but
уонна,and
эбэтэр cf биэтэр, биитэр
аа,Oh! See!
абытай,Whew!
айыкка,Ouch!
ар,Roar!
баа,low voice
бай,Well!
бар,Roar!
баһаалысса,Please! [<Russ. пожалуйста]
баһаалыста,Please! [<Russ. пожалуйста]
баһыыба,Thanks!
бирибиэт,Hello! [<Russ привет]
буу,Wheeze!
бырастыы,Excuse me! [<Russ. прощат]
быраһаай,Good bye! [<Russ. прощай]
даа,Croak!
даах, даах
дорообо,Greetings! Hello!
ким,who?
кимиэнэй,whose?
кимнээх,who (pl.)?
күү,Buzz!
кэҕэ,Cuckoo!
мэ,Here! Take!
нокоо,Hey you!
ноо,Hey! Stop!
нохоо,Hey you!
ньаа,Squeak!
өө,Oh!
па,Ugh! Faugh! Yuck!
пахай,Ugh! Faugh! Yuck!
та,Tap!
тоҕо,why?
төһө,how much
туох,what
түксү,Enough!
хаа,hoarseness
хайа,Well! What now?!
хайдах,how
ханна,where
ханнык,which
хантан,from where
хас,how much?
хаһыс,which
һа,Laugh!
һай,Go! (used for driving cattle)
һат,Giddy-up!
һуу,Yikes! Wow! Whew!
ча,Laugh!
чалк,Splash!
ысса,Cold!
э,Huh?
эһээ,huh?
ээ,yes
аак,document
аал,ship
аан,door
аана,gate
аас,hunger
аат,name
аат тыл,noun
аат-суол,fame
аата,comp. title
аах,document
аба,grief
абаасы,ogre
абаатар,comp. avatar
абааһы,ogre
абаҕа,uncle (paternal)
автомобиль,automobile
агроном,agronomist
аҕа,father
аҕа-ий̃э,parents
аҕабыыт,priest
аҕас,sister (elder)
адаар,gnarl
адьарай,small demon
адьас,quite
айа,crossbow
айан,road
айанньыт,traveler
ай̃ах,mouth
айдаан,noise
аймах,relative
айхал,glory
айылҕа,nature
айымньы,creation
айыы,production
ай̃ыы,sin
акушерка,midwife
алаадьы,fritter
алаас,large open field with one or more lakes
Алааска,Alaska
алар,woods
албаҕа,flattery
албын,deceit
алгый,large kettle
алгыс,blessing
алҕас,error
алдьархай,destruction
алтан от,dandelion
алтынньы,October
алын,lower part
алып,magic
алыһар,perch (fish
Америка,America
Америка Холбоһуктаах Штаттара (АХШ),United States of America (USA)
ампаар,barn
ампаар дьиэ,Russian hut
анал,destiny
андаҕар,vow [<Mong. andağar]
анды,velvet scoter (Melanitta fusca)
ап,sorcery
апка, аппа
араама,frame [<Russ. рама]
араары,partitive(case)
арааһынай,different things
арахcыы,expenses
аргыс,companion
аргыһах,dial cf оргуһах yoke
ардах,rain
ардьаах,large fish trap with a wide opening
арсыын,arshin
артыал,artel
арыгы,wine
арыгыһыт,alcoholic
арыы,butter
арыы,island
ас,food
ас,hair
ассыын,arshin
асчыт,cook
ат,horse
ат кунан,steer
ат оҕус,bullock
ат сэбэ,harness
атас,friend
атас-доҕор,friends
атах,foot
атах таҥаһа,footwear
аттаах,horsemen
атырдьах ыйа,August
атыы,commerce
атыыр,stallion
атыыр оҕус,stud bull
атыыр оҕус,stud-bull
атыыр сибиинньэ,boar
аудитория,audience [<Russ.]
ах,rancidity
ахсаан,account
ахсынньы,December
аһаҕас дорҕоон,vowel
аһарыы,comp. autologin
аһылык,meal
